dane_logowania_id;login;haslo
1;sk1;535EBC602DD393B5198F28A53C639CDE5071C73B322B99B39F38AF781F541939
2;lk2;9A39CA6A3A47EEF1E8F872EB58BF8CFD3A764AB81BE2E3AAD8CAC893FE33FAD9
3;jb3;A4B54456007B1123D573F788E62E467DD104307892DC5CBE4AA392DFFB89A6E6
4;ac4;28E495A97601B511E8ED811FA28D330A1C778252F4DE772C600DC9B14AEE79A1
5;sl5;4FC7F2AA700DDFF329F1C0A826E2B750941C35D0C3E8DF87D86F13DB9B8D2893
6;da6;6E8E1A3CC4D5E4B7B9320F87F7B5025CB2812C31E4F9CEBC6DFE7923259AA913
7;ad7;5299D287C20961B75467F5EFBDBAC4E5232B5A9F15CC3C3D293F1293045912B6
8;hk8;2923F470B0187B06FCE498025623F553ACCEED1864D330AA640FD5BF5D30A9D9
9;wg9;EC9CFCC3C537811C88DB3DC2BD54A08DAFC2B157C8DF73D102BF0CB3706A2A3A
10;bo10;099FAE0FD4FABC201C9D38EBE5D74892DA260015A894C0D06D3D964787978DE9
11;am11;8451C7F0C8C0FE3B0B52984E5C571500F2E71C25C34C5BFDF7D8B54DB65724F0
12;ns12;319DA1C188D6EED4DD950C55563438D599269AAF1D174CDFCD6D56488A491546
13;mb13;FA77A7C95CEFF3BCE24E3606D392B2CCED3C6205766268B41A66B881613215DA
14;zp14;32041037A3467F212CFB660EBC872AF25DE880018C4B63EBFCCD45F8F924E066
15;an15;4B8BD2493C3E86BBA8839584950164BB4B320E2D022E6B061BCF39F978D8C4FD
