dane_kontaktowe_id;adres_email;numer_telefonu;adres
1;kontakt@samsung.com;512498265;"""Wrocław Kopernika 44"""
2;kontakt@bosch.com;512468985;"""Warszawa Piłsudskiego 23"""
3;kontakt@lg.com;556324985;"""Warszawa 11 Listopada 4"""
4;kontakt@hisense.com;521478963;"""Wrocław Hallera 411"""
5;kontakt@beko.com;568742391;"""Warszawa Stawowa 34"""
6;kontakt@haier.com;578426913;"""Warszawa Sudoła 123"""
7;kontakt@philips.com;526871493;"""Wrocław Kościuszki 83"""
8;kontakt@jura.com;596843172;"""Rzeszów Leśna 44"""
9;kontakt@krups.com;522384497;"""Rzeszów Żołnierzy Wyklętych 156"""
10;kontakt@siemens.com;513489621;"""Warszawa Wierzbowa 12"""
11;kontakt@delonghi.com;556899357;"""Wrocław Postępowa 56"""
12;kontakt@saeco.com;512488963;"""Warszawa Grenlandzka 420"""
13;kontakt@sony.com;724533468;"""Warszawa Ogrodowa 58"""
14;kontakt@tcl.com;468540100;"""Zyrardow A. Mickiewicza 31/41"""
15;kontakt@canon.com;768230102;"""Wrocław Legnicka 51"""
16;kontakt@hp.com;673280193;"""Wrocław Kochanowskiego 17"""
17;kontakt@epson.com;863250103;"""Wrocław Piłsudskiego 64"""
18;kontakt@mpm.com;899250001;"""Wrocław Stawowa 27"""
19;kontakt@kenwood.com;768255077;"""Warszawa Puławska 303"""
20;sk1@rtv.com;632887221;"""Wrocław Zatorska 103"""
21;lk2@rtv.com;735611882;"""Wrocław Krzywoustego 3"""
22;jb3@rtv.com;516224785;"""Wrocław Kromera 43"""
23;ac4@rtv.com;512556709;"""Wrocław Hallera 22"""
24;sl5@rtv.com;745211905;"""Wrocław Wrzosowa 3"""
25;da6@rtv.com;756890543;"""Wrocław Kwiatowa 4"""
26;ad7@rtv.com;732211974;"""Wrocław Zielińskiego 57"""
27;hk8@rtv.com;557478900;"""Wrocław Różana 27"""
28;wg9@rtv.com;533467901;"""Wrocław Kamieńskiego 89"""
29;bo10@rtv.com;786541998;"""Wrocław Dębicka 36"""
30;am11@rtv.com;772321156;"""Wrocław Czekoladowa 55"""
31;ns12@rtv.com;555673211;"""Wrocław Zatorska 53"""
32;mb13@rtv.com;711253119;"""Wrocław Kromera 12"""
33;zp14@rtv.com;599312563;"""Wrocław Kwidzyńskiego 86"""
34;an15@rtv.com;765340560;"""Wrocław Kamieńskiego 13"""
35;kontakt@panasonic.com;365320627;"""Łódź Dowborczyków 25"""
36;kontakt@blackmagic.com;586477302;"""Warszawa Kościuszki 441"""
37;kontakt@dji.com;456823497;"""Warszawa Marynarska 15"""
38;kontakt@red.com;775140698;"""Warszawa Transportowców 28"""
39;kontakt@apple.com;810404477;"""Warszawa Chmielna 19"""
40;kontakt@xiaomi.com;630302464;"""Piaseczno Puławska 40A"""
41;kontakt@jbl.com;866220006;"""Katowice Korfantego 141"""
42;kontakt@bose.com;675761061;"""Warszawa Wspólna 70"""
